N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
199,코리안리,"7,240",50,+0.70%,500,"8,715","120,369",27.46,"205,598",5.18,8.04,
200,두산,"50,800",100,+0.20%,"5,000","8,394","16,524",7.43,"233,036",14.70,23.52,
201,KODEX 단기채권PLUS,"102,690",15,+0.01%,0,"8,268","8,051",0.00,"1,488",N/A,N/A,
202,동원산업,"223,000","8,000",+3.72%,"5,000","8,201","3,678",7.17,"19,360",9.08,4.45,
203,현대홈쇼핑,"68,100","1,200",+1.79%,"5,000","8,172","12,000",24.42,"62,720",10.53,5.03,
204,제이알글로벌리츠,"4,890",5,+0.10%,"1,000","8,098","165,600",0.01,"174,384",N/A,N/A,
205,CJ CGV,"22,950",350,-1.50%,500,"8,055","35,100",5.43,"505,911",-1.47,-57.60,
206,오리온홀딩스,"12,800",0,0.00%,500,"8,019","62,645",9.08,"205,450",11.67,2.55,
207,삼양식품,"105,500",0,0.00%,"5,000","7,947","7,533",6.73,"33,673",10.57,23.15,
208,디피씨,"18,950",200,-1.04%,500,"7,898","41,678",1.22,"2,013,019",56.74,7.12,
209,JW중외제약,"37,550",150,-0.40%,"2,500","7,855","20,920",5.86,"113,373",-25.07,-10.31,
210,동아에스티,"92,700",600,-0.64%,"5,000","7,827","8,444",26.11,"45,980",9.76,11.58,
211,보령제약,"16,250",0,0.00%,500,"7,738","47,620",9.14,"238,554",25.92,11.96,
212,대한전선,902,4,+0.45%,500,"7,725","856,473",1.85,"9,758,542",60.13,-3.99,
213,미래에셋생명,"4,345",5,-0.11%,"5,000","7,691","177,016",5.76,"338,378",7.48,4.98,
214,화승엔터프라이즈,"12,650",300,+2.43%,500,"7,658","60,537",3.96,"452,315",13.75,19.87,
215,태광산업,"687,000","2,000",+0.29%,"5,000","7,649","1,113",9.43,"1,474",5.87,4.34,
216,경동나비엔,"60,000","2,700",+4.71%,"1,000","7,644","12,740",10.67,"382,760",19.50,9.59,
217,GKL,"12,200",0,0.00%,500,"7,546","61,856",6.46,"405,134",21.71,12.62,
218,제일약품,"51,100",900,+1.79%,500,"7,514","14,705",5.26,"871,750",-111.82,-5.96,
219,S&T모티브,"51,200",200,-0.39%,"5,000","7,487","14,623",23.52,"67,212",10.70,0.33,
220,롯데칠성,"92,900",500,-0.54%,500,"7,426","7,993",18.67,"30,077",-9.20,-11.68,
221,NICE,"19,350",450,-2.27%,500,"7,330","37,882",22.08,"75,955",91.27,4.39,
222,현대그린푸드,"7,500",200,+2.74%,500,"7,328","97,704",11.86,"994,059",15.46,3.20,
223,한섬,"29,750",600,-1.98%,500,"7,327","24,630",28.34,"189,047",8.86,8.37,
224,효성첨단소재,"163,500","10,500",+6.86%,"5,000","7,325","4,480",6.20,"256,524",-5.56,-19.74,
225,ARIRANG 200,"31,795",300,+0.95%,0,"7,249","22,800",0.13,"171,905",N/A,N/A,
226,동화약품,"25,950","1,400",+5.70%,"1,000","7,248","27,931",3.81,"1,703,458",42.20,3.15,
227,HANARO 200,"31,645",290,+0.92%,0,"7,183","22,700",0.00,"188,010",N/A,N/A,
228,KINDEX 200,"31,675",290,+0.92%,0,"7,079","22,350",14.43,"344,001",N/A,N/A,
229,LIG넥스원,"32,000",500,+1.59%,"5,000","7,040","22,000",5.74,"81,146",23.22,N/A,
230,롯데하이마트,"29,800",150,+0.51%,"5,000","7,035","23,608",12.69,"73,481",-7.58,-5.02,
231,한세실업,"17,550",650,+3.85%,500,"7,020","40,000",7.79,"331,751",-41.99,-0.06,
232,KODEX MSCI Korea TR,"10,080",125,+1.26%,0,"7,016","69,600",15.24,"358,937",N/A,N/A,
233,TIGER 단기채권액티브,"50,460",5,+0.01%,0,"7,013","13,898",0.00,565,N/A,N/A,
234,현대일렉트릭,"19,250","1,850",+10.63%,"5,000","6,939","36,047",6.40,"6,843,774",-3.29,-34.08,
235,한전기술,"18,150",100,+0.55%,200,"6,937","38,220",2.32,"153,821",48.66,5.54,
236,아주캐피탈,"12,000",0,0.00%,"5,000","6,906","57,546",1.13,"34,620",6.05,12.97,
237,풍산,"23,900",0,0.00%,"5,000","6,698","28,024",11.74,"175,285",69.08,1.28,
238,HDC,"11,200",100,-0.88%,"5,000","6,691","59,742",21.42,"523,949",3.06,12.58,
239,동원F&B,"173,000",500,-0.29%,"5,000","6,676","3,859",6.59,"7,262",10.38,10.00,
240,효성중공업,"71,500","6,100",+9.33%,"5,000","6,667","9,325",5.80,"2,455,659",-11.83,1.45,
241,풀무원,"17,450",100,-0.57%,500,"6,652","38,121",1.22,"186,364",50.87,0.95,
242,롯데제과,"102,500","1,000",-0.97%,500,"6,577","6,417",16.94,"14,200",20.09,3.19,
243,삼양사,"63,500",200,-0.31%,"5,000","6,549","10,313",4.92,"29,029",13.53,3.07,
244,잇츠한불,"29,650",0,0.00%,500,"6,502","21,929",2.92,"107,944",-64.88,-1.11,
245,쿠쿠홀딩스,"90,900",500,-0.55%,500,"6,465","7,112",4.93,"6,883",6.58,12.38,
246,한진중공업,"7,680",120,+1.59%,"5,000","6,395","83,274",20.78,"264,355",4.09,-132.20,
247,아모레퍼시픽우,"60,400",0,0.00%,500,"6,377","10,558",63.85,"18,739",30.37,N/A,
248,쌍용차,"4,255",470,+12.42%,"5,000","6,376","149,840",76.54,"9,231,070",-1.37,-62.27,
249,서흥,"54,600","1,700",+3.21%,500,"6,317","11,569",13.39,"42,962",15.13,11.15,
250,동아쏘시오홀딩스,"102,500",0,0.00%,"5,000","6,292","6,138",13.99,"21,149",21.42,2.67,
